ItemId,BitAllocationProtocol,Na,ma,NumGroups,TaskSize,CM_NumExcBits,CI_MeanNumExcBits,CI_StdNumExcBits
1,RedundNoRepBits,3,30,10,20,0.0,0.0,0.0
1,RedundNoRepBits,3,30,50,20,0.0,0.0,0.0
1,RedundNoRepBits,3,30,100,20,0.0,0.0,0.0
1,RedundNoRepBits,3,30,500,20,0.0,0.0,0.0
1,RedundNoRepBits,3,30,1000,20,0.0,0.0,0.0
1,RedundNoRepBits,3,30,5000,20,0.0,0.0,0.0
1,RedundNoRepBits,3,30,10000,20,0.0,0.0,0.0
1,RedundNoRepBits,3,30,20000,20,0.0,0.0,0.0
2,RedundNoRepBits,3,8,10,20,0.0,3.8,1.2489995996796797
2,RedundNoRepBits,3,8,50,20,0.0,3.88,1.2270289320142374
2,RedundNoRepBits,3,8,100,20,0.0,4.39,1.2719669807035086
2,RedundNoRepBits,3,8,500,20,0.0,4.258,1.2391271121236918
2,RedundNoRepBits,3,8,1000,20,0.0,4.351,1.2537140822372541
2,RedundNoRepBits,3,8,5000,20,0.0,4.319,1.2526926997472285
2,RedundNoRepBits,3,8,10000,20,0.0,4.3146,1.2569911853310667
2,RedundNoRepBits,3,8,20000,20,0.0,4.3269,1.2626307417451867
3,RedundNoRepBits,3,3,10,20,11.0,12.3,0.6403124237432849
3,RedundNoRepBits,3,3,50,20,11.0,12.46,0.8296987405076616
3,RedundNoRepBits,3,3,100,20,11.0,12.32,0.915204895091804
3,RedundNoRepBits,3,3,500,20,11.0,12.242,0.862227348209276
3,RedundNoRepBits,3,3,1000,20,11.0,12.327,0.894466880325929
3,RedundNoRepBits,3,3,5000,20,11.0,12.2702,0.8824919036455803
3,RedundNoRepBits,3,3,10000,20,11.0,12.2819,0.8810405155269535
3,RedundNoRepBits,3,3,20000,20,11.0,12.28455,0.8805005948322807
4,RedundNoRepBits,6,3,10,20,2.0,7.4,0.8
4,RedundNoRepBits,6,3,50,20,2.0,7.46,1.4725488107359974
4,RedundNoRepBits,6,3,100,20,2.0,7.6,1.319090595827292
4,RedundNoRepBits,6,3,500,20,2.0,7.604,1.3458023629047469
4,RedundNoRepBits,6,3,1000,20,2.0,7.545,1.2719964622592315
4,RedundNoRepBits,6,3,5000,20,2.0,7.556,1.3151669095593912
4,RedundNoRepBits,6,3,10000,20,2.0,7.556,1.3283312839800168
4,RedundNoRepBits,6,3,20000,20,2.0,7.54765,1.329860698531993
5,RedundNoRepBits,9,8,10,20,0.0,0.2,0.4000000000000001
5,RedundNoRepBits,9,8,50,20,0.0,0.1,0.3
5,RedundNoRepBits,9,8,100,20,0.0,0.16,0.36660605559646725
5,RedundNoRepBits,9,8,500,20,0.0,0.226,0.45926462959823067
5,RedundNoRepBits,9,8,1000,20,0.0,0.213,0.4400352258626575
5,RedundNoRepBits,9,8,5000,20,0.0,0.2018,0.4278747012853179
5,RedundNoRepBits,9,8,10000,20,0.0,0.2006,0.42960405026023674
5,RedundNoRepBits,9,8,20000,20,0.0,0.2007,0.4349936896094011
6,RedundNoRepBits,14,14,10,20,0.0,0.0,0.0
6,RedundNoRepBits,14,14,50,20,0.0,0.0,0.0
6,RedundNoRepBits,14,14,100,20,0.0,0.0,0.0
6,RedundNoRepBits,14,14,500,20,0.0,0.0,0.0
6,RedundNoRepBits,14,14,1000,20,0.0,0.0,0.0
6,RedundNoRepBits,14,14,5000,20,0.0,0.0,0.0
6,RedundNoRepBits,14,14,10000,20,0.0,0.0,0.0
6,RedundNoRepBits,14,14,20000,20,0.0,0.0,0.0
7,RedundNoRepBits,30,30,10,20,0.0,0.0,0.0
7,RedundNoRepBits,30,30,50,20,0.0,0.0,0.0
7,RedundNoRepBits,30,30,100,20,0.0,0.0,0.0
7,RedundNoRepBits,30,30,500,20,0.0,0.0,0.0
7,RedundNoRepBits,30,30,1000,20,0.0,0.0,0.0
7,RedundNoRepBits,30,30,5000,20,0.0,0.0,0.0
7,RedundNoRepBits,30,30,10000,20,0.0,0.0,0.0
7,RedundNoRepBits,30,30,20000,20,0.0,0.0,0.0
8,RedundNoRepBits,36,7,10,20,0.0,0.0,0.0
8,RedundNoRepBits,36,7,50,20,0.0,0.0,0.0
8,RedundNoRepBits,36,7,100,20,0.0,0.0,0.0
8,RedundNoRepBits,36,7,500,20,0.0,0.0,0.0
8,RedundNoRepBits,36,7,1000,20,0.0,0.0,0.0
8,RedundNoRepBits,36,7,5000,20,0.0,0.0,0.0
8,RedundNoRepBits,36,7,10000,20,0.0,0.0001,0.009999499987499378
8,RedundNoRepBits,36,7,20000,20,0.0,0.0,0.0
9,RedundNoRepBits,26,2,10,20,0.0,1.4,1.2
9,RedundNoRepBits,26,2,50,20,0.0,1.16,1.1019981851164729
9,RedundNoRepBits,26,2,100,20,0.0,1.32,0.947417542586161
9,RedundNoRepBits,26,2,500,20,0.0,1.248,0.9769831114200491
9,RedundNoRepBits,26,2,1000,20,0.0,1.296,0.9728226971036398
9,RedundNoRepBits,26,2,5000,20,0.0,1.2774,0.9869393294422915
9,RedundNoRepBits,26,2,10000,20,0.0,1.273,0.9949226100556766
9,RedundNoRepBits,26,2,20000,20,0.0,1.2813,0.9795255535206828
10,NoRedundRandom,30,3,10,20,0.0,6.9,2.0223748416156684
10,NoRedundRandom,30,3,50,20,0.0,7.3,1.8681541692269406
10,NoRedundRandom,30,3,100,20,0.0,7.23,2.310216440076557
10,NoRedundRandom,30,3,500,20,0.0,7.17,1.9932636554154093
10,NoRedundRandom,30,3,1000,20,0.0,7.167,1.9439935699482136
10,NoRedundRandom,30,3,5000,20,0.0,7.242,1.999058778525534
10,NoRedundRandom,30,3,10000,20,0.0,7.2042,2.0106472490220657
10,NoRedundRandom,30,3,20000,20,0.0,7.23455,2.003680687509864
11,NoRedundRandom,4,26,10,20,0.0,5.8,2.227105745132009
11,NoRedundRandom,4,26,50,20,0.0,6.18,1.9868568141665368
11,NoRedundRandom,4,26,100,20,0.0,6.16,1.8315021157508933
11,NoRedundRandom,4,26,500,20,0.0,6.312,1.8543613455850507
11,NoRedundRandom,4,26,1000,20,0.0,6.336,2.021164021053215
11,NoRedundRandom,4,26,5000,20,0.0,6.313,1.9303447878552682
11,NoRedundRandom,4,26,10000,20,0.0,6.3211,1.9758529272190277
11,NoRedundRandom,4,26,20000,20,0.0,6.35975,1.9536452946991172
12,NoRedundRandom,3,8,10,20,0.0,5.1,1.3
12,NoRedundRandom,3,8,50,20,0.0,6.26,1.4256226709757391
12,NoRedundRandom,3,8,100,20,0.0,5.79,1.3061010680647955
12,NoRedundRandom,3,8,500,20,0.0,5.886,1.3816671089665555
12,NoRedundRandom,3,8,1000,20,0.0,5.913,1.3745657496096721
12,NoRedundRandom,3,8,5000,20,0.0,5.9038,1.435042006353821
12,NoRedundRandom,3,8,10000,20,0.0,5.9252,1.4284274430295716
12,NoRedundRandom,3,8,20000,20,0.0,5.9216,1.4286894134135664
13,NoRedundRandom,3,3,10,20,11.0,12.1,1.0440306508910548
13,NoRedundRandom,3,3,50,20,11.0,12.28,0.980612053770501
13,NoRedundRandom,3,3,100,20,11.0,12.29,0.8636550237218563
13,NoRedundRandom,3,3,500,20,11.0,12.282,0.8913338319619647
13,NoRedundRandom,3,3,1000,20,11.0,12.295,0.8999861110039422
13,NoRedundRandom,3,3,5000,20,11.0,12.2898,0.8918609532881233
13,NoRedundRandom,3,3,10000,20,11.0,12.3019,0.8904809880059202
13,NoRedundRandom,3,3,20000,20,11.0,12.282,0.8779384944288522
14,NoRedundRandom,9,3,10,20,0.0,5.7,1.4177446878757827
14,NoRedundRandom,9,3,50,20,0.0,6.76,1.3047605144240073
14,NoRedundRandom,9,3,100,20,0.0,6.95,1.5256146302392357
14,NoRedundRandom,9,3,500,20,0.0,6.874,1.5277840161488794
14,NoRedundRandom,9,3,1000,20,0.0,6.936,1.5626592718823895
14,NoRedundRandom,9,3,5000,20,0.0,6.9228,1.619147973472468
14,NoRedundRandom,9,3,10000,20,0.0,6.9381,1.610362813157333
14,NoRedundRandom,9,3,20000,20,0.0,6.91495,1.6125806948801042
15,NoRedundRandom,9,9,10,20,0.0,6.7,2.0024984394500787
15,NoRedundRandom,9,9,50,20,0.0,6.62,1.9988996973335105
15,NoRedundRandom,9,9,100,20,0.0,6.76,1.9499743588057767
15,NoRedundRandom,9,9,500,20,0.0,6.86,1.915306763941484
15,NoRedundRandom,9,9,1000,20,0.0,6.986,1.9979499493230555
15,NoRedundRandom,9,9,5000,20,0.0,6.932,1.9466319631609876
15,NoRedundRandom,9,9,10000,20,0.0,6.9127,1.9762284053216117
15,NoRedundRandom,9,9,20000,20,0.0,6.92515,1.964445844888578
16,NoRedundRandom,30,30,10,20,0.0,6.3,1.676305461424021
16,NoRedundRandom,30,30,50,20,0.0,7.22,2.4681166909204273
16,NoRedundRandom,30,30,100,20,0.0,7.02,2.1259350883787587
16,NoRedundRandom,30,30,500,20,0.0,7.24,2.1162230506258077
16,NoRedundRandom,30,30,1000,20,0.0,7.264,2.109574364652737
16,NoRedundRandom,30,30,5000,20,0.0,7.2022,2.1446013988618025
16,NoRedundRandom,30,30,10000,20,0.0,7.23,2.1543676566454484
16,NoRedundRandom,30,30,20000,20,0.0,7.24315,2.1503088330516618
